0.776021, 8.994111, -3.136025, 0.005021
0.772537, 8.994091, -3.135944, 0.010026
0.767398, 8.994062, -3.135840, 0.020035
0.760078, 8.994019, -3.135835, 0.020040
0.752738, 8.993977, -3.135824, 0.020035
0.745383, 8.993935, -3.135620, 0.020115
0.738044, 8.993890, -3.135312, 0.019963
0.730728, 8.993843, -3.135067, 0.019837
0.723463, 8.993792, -3.134215, 0.019652
0.716177, 8.993736, -3.133787, 0.019986
0.708835, 8.993679, -3.133814, 0.019967
0.701495, 8.993622, -3.133822, 0.019971
0.694184, 8.993488, -3.108453, 0.019977
0.686855, 8.993118, -3.075450, 0.019993
0.679542, 8.992508, -3.042442, 0.020006
0.670227, 8.991403, -3.009728, 0.034888
0.656285, 8.989337, -2.984106, 0.037649
0.639125, 8.986478, -2.962451, 0.054117
0.615583, 8.981734, -2.925007, 0.073574
0.589201, 8.975152, -2.869657, 0.078827
0.561621, 8.966932, -2.836424, 0.079599
0.534169, 8.957722, -2.799797, 0.079125
0.507007, 8.947488, -2.763033, 0.079020
0.482159, 8.936802, -2.708611, 0.075116
0.456269, 8.924336, -2.675096, 0.079083
0.430585, 8.910800, -2.638415, 0.079160
0.405433, 8.896342, -2.601715, 0.078558
0.382656, 8.881822, -2.547913, 0.079080
0.358899, 8.865139, -2.511209, 0.079114
0.335769, 8.847595, -2.474580, 0.079111
0.313856, 8.829872, -2.448330, 0.078487
0.292616, 8.811300, -2.402488, 0.079089
0.271528, 8.791351, -2.365797, 0.079113
0.251934, 8.771592, -2.345101, 0.076882
0.232052, 8.750505, -2.308367, 0.078203
0.213277, 8.728890, -2.267190, 0.079095
0.195588, 8.707014, -2.242008, 0.071905
0.178124, 8.684459, -2.212495, 0.079123
0.161217, 8.660932, -2.175140, 0.077228
0.145459, 8.637127, -2.146485, 0.075463
0.129787, 8.613437, -2.157237, 0.079988
0.113540, 8.588983, -2.157233, 0.080027
0.097530, 8.564832, -2.153815, 0.079799
0.081837, 8.541212, -2.165135, 0.079941
0.064200, 8.515123, -2.165313, 0.090016
0.044465, 8.485918, -2.163483, 0.096901
0.024367, 8.456131, -2.170077, 0.099757
0.003666, 8.425822, -2.170028, 0.100022
-0.016823, 8.395788, -2.167305, 0.100427
-0.037164, 8.366036, -2.174858, 0.099916
-0.058009, 8.335830, -2.174846, 0.100026
-0.078466, 8.305837, -2.155330, 0.098773
-0.097662, 8.276232, -2.133952, 0.099094
-0.116509, 8.245121, -2.097300, 0.099164
-0.133794, 8.214089, -2.065248, 0.091247
-0.150415, 8.182432, -2.037267, 0.099098
-0.166172, 8.149644, -2.000658, 0.099160
-0.180303, 8.117727, -1.977024, 0.099746
-0.194074, 8.084022, -1.940767, 0.099629
-0.206702, 8.049752, -1.907252, 0.096604
-0.218069, 8.016713, -1.888903, 0.099700
-0.228933, 7.981716, -1.855315, 0.100005
-0.238410, 7.947588, -1.836695, 0.091966
-0.247403, 7.912651, -1.806057, 0.099871
-0.255358, 7.876836, -1.773012, 0.099932
-0.262140, 7.842556, -1.758722, 0.100059
-0.268385, 7.806466, -1.726143, 0.100668
-0.273410, 7.770576, -1.697847, 0.090261
